study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA842889	SAMN28690371	SRX15537771	SRR19484976	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/076/SRR19484976/SRR19484976.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/076/SRR19484976
PRJNA842889	SAMN28690370	SRX15537770	SRR19484977	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/077/SRR19484977/SRR19484977.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/077/SRR19484977
PRJNA842889	SAMN28690369	SRX15537769	SRR19484978	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/078/SRR19484978/SRR19484978.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/078/SRR19484978
PRJNA842889	SAMN28690368	SRX15537768	SRR19484979	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/079/SRR19484979/SRR19484979.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/079/SRR19484979
PRJNA842889	SAMN28690367	SRX15537767	SRR19484980	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/080/SRR19484980/SRR19484980.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/080/SRR19484980
PRJNA842889	SAMN28690366	SRX15537766	SRR19484981	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/081/SRR19484981/SRR19484981.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/081/SRR19484981
PRJNA842889	SAMN28690365	SRX15537765	SRR19484982	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/082/SRR19484982/SRR19484982.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/082/SRR19484982
PRJNA842889	SAMN28690086	SRX15537764	SRR19484983	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/083/SRR19484983/SRR19484983.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/083/SRR19484983
PRJNA842889	SAMN28690364	SRX15537763	SRR19484984	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/084/SRR19484984/SRR19484984.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/084/SRR19484984
PRJNA842889	SAMN28690363	SRX15537762	SRR19484985	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/085/SRR19484985/SRR19484985.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/085/SRR19484985
PRJNA842889	SAMN28690362	SRX15537761	SRR19484986	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/086/SRR19484986/SRR19484986.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/086/SRR19484986
PRJNA842889	SAMN28690361	SRX15537760	SRR19484987	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/087/SRR19484987/SRR19484987.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/087/SRR19484987
PRJNA842889	SAMN28690360	SRX15537759	SRR19484988	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/088/SRR19484988/SRR19484988.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/088/SRR19484988
PRJNA842889	SAMN28690359	SRX15537758	SRR19484989	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/089/SRR19484989/SRR19484989.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/089/SRR19484989
PRJNA842889	SAMN28690358	SRX15537757	SRR19484990	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/090/SRR19484990/SRR19484990.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/090/SRR19484990
PRJNA842889	SAMN28690357	SRX15537756	SRR19484991	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/091/SRR19484991/SRR19484991.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/091/SRR19484991
PRJNA842889	SAMN28690356	SRX15537755	SRR19484992	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/092/SRR19484992/SRR19484992.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/092/SRR19484992
PRJNA842889	SAMN28690355	SRX15537754	SRR19484993	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/093/SRR19484993/SRR19484993.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/093/SRR19484993
PRJNA842889	SAMN28690085	SRX15537753	SRR19484994	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/094/SRR19484994/SRR19484994.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/094/SRR19484994
PRJNA842889	SAMN28690058	SRX15537752	SRR19484995	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/095/SRR19484995/SRR19484995.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/095/SRR19484995
PRJNA842889	SAMN28690354	SRX15537751	SRR19484996	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/096/SRR19484996/SRR19484996.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/096/SRR19484996
PRJNA842889	SAMN28690353	SRX15537750	SRR19484997	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/097/SRR19484997/SRR19484997.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/097/SRR19484997
PRJNA842889	SAMN28690352	SRX15537749	SRR19484998	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/098/SRR19484998/SRR19484998.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/098/SRR19484998
PRJNA842889	SAMN28690351	SRX15537748	SRR19484999	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/099/SRR19484999/SRR19484999.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/099/SRR19484999
PRJNA842889	SAMN28690350	SRX15537747	SRR19485000	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR19485000/SRR19485000.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/000/SRR19485000
PRJNA842889	SAMN28690349	SRX15537746	SRR19485001	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR19485001/SRR19485001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/001/SRR19485001
PRJNA842889	SAMN28690348	SRX15537745	SRR19485002	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR19485002/SRR19485002.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/002/SRR19485002
PRJNA842889	SAMN28690347	SRX15537744	SRR19485003	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR19485003/SRR19485003.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/003/SRR19485003
PRJNA842889	SAMN28690346	SRX15537743	SRR19485004	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR19485004/SRR19485004.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/004/SRR19485004
PRJNA842889	SAMN28690345	SRX15537742	SRR19485005	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR19485005/SRR19485005.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/005/SRR19485005
PRJNA842889	SAMN28690084	SRX15537741	SRR19485006	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR19485006/SRR19485006.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/006/SRR19485006
PRJNA842889	SAMN28690344	SRX15537740	SRR19485007	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR19485007/SRR19485007.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/007/SRR19485007
PRJNA842889	SAMN28690343	SRX15537739	SRR19485008	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR19485008/SRR19485008.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/008/SRR19485008
PRJNA842889	SAMN28690342	SRX15537738	SRR19485009	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR19485009/SRR19485009.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/009/SRR19485009
PRJNA842889	SAMN28690341	SRX15537737	SRR19485010	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/010/SRR19485010/SRR19485010.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/010/SRR19485010
PRJNA842889	SAMN28690340	SRX15537736	SRR19485011	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/011/SRR19485011/SRR19485011.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/011/SRR19485011
PRJNA842889	SAMN28690339	SRX15537735	SRR19485012	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/012/SRR19485012/SRR19485012.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/012/SRR19485012
PRJNA842889	SAMN28690338	SRX15537734	SRR19485013	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/013/SRR19485013/SRR19485013.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/013/SRR19485013
PRJNA842889	SAMN28690337	SRX15537733	SRR19485014	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/014/SRR19485014/SRR19485014.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/014/SRR19485014
PRJNA842889	SAMN28690336	SRX15537732	SRR19485015	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/015/SRR19485015/SRR19485015.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/015/SRR19485015
PRJNA842889	SAMN28690335	SRX15537731	SRR19485016	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/016/SRR19485016/SRR19485016.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/016/SRR19485016
PRJNA842889	SAMN28690083	SRX15537730	SRR19485017	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/017/SRR19485017/SRR19485017.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/017/SRR19485017
PRJNA842889	SAMN28690334	SRX15537729	SRR19485018	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/018/SRR19485018/SRR19485018.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/018/SRR19485018
PRJNA842889	SAMN28690333	SRX15537728	SRR19485019	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/019/SRR19485019/SRR19485019.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/019/SRR19485019
PRJNA842889	SAMN28690332	SRX15537727	SRR19485020	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/020/SRR19485020/SRR19485020.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/020/SRR19485020
PRJNA842889	SAMN28690331	SRX15537726	SRR19485021	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/021/SRR19485021/SRR19485021.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/021/SRR19485021
PRJNA842889	SAMN28690330	SRX15537725	SRR19485022	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/022/SRR19485022/SRR19485022.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/022/SRR19485022
PRJNA842889	SAMN28690329	SRX15537724	SRR19485023	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/023/SRR19485023/SRR19485023.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/023/SRR19485023
PRJNA842889	SAMN28690328	SRX15537912	SRR19485024	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/024/SRR19485024/SRR19485024.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/024/SRR19485024
PRJNA842889	SAMN28690079	SRX15537722	SRR19485025	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/025/SRR19485025/SRR19485025.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/025/SRR19485025
PRJNA842889	SAMN28690294	SRX15537721	SRR19485026	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/026/SRR19485026/SRR19485026.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/026/SRR19485026
PRJNA842889	SAMN28690293	SRX15537720	SRR19485027	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/027/SRR19485027/SRR19485027.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/027/SRR19485027
PRJNA842889	SAMN28690292	SRX15537719	SRR19485028	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/028/SRR19485028/SRR19485028.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/028/SRR19485028
